state,year,county,tract,tested,BLL_geq_5,BLL_geq_10
MD,2005,Caroline,240119551.00,99,11,4
MD,2005,Caroline,240119552.00,136,12,1
MD,2005,Caroline,240119553.00,120,20,2
MD,2005,Caroline,240119554.00,47,4,0
MD,2005,Caroline,240119555.00,78,6,0
MD,2005,Caroline,240119556.00,155,25,3
MD,2005,Carroll,NA,176,7,0
MD,2005,Carroll,240135010.00,173,6,0
MD,2005,Carroll,240135020.00,26,4,0
MD,2005,Carroll,240135030.00,33,1,0
MD,2005,Carroll,240135041.00,36,3,0
MD,2005,Carroll,240135042.01,42,2,0
MD,2005,Carroll,240135042.02,42,5,2
MD,2005,Carroll,240135051.01,21,0,0
MD,2005,Carroll,240135051.02,26,1,0
MD,2005,Carroll,240135052.02,50,1,0
MD,2005,Carroll,240135052.03,22,0,0
MD,2005,Carroll,240135052.04,41,1,0
MD,2005,Carroll,240135061.00,46,4,1
MD,2005,Carroll,240135062.00,41,5,0
MD,2005,Carroll,240135075.00,17,1,0
MD,2005,Carroll,240135076.01,41,5,1
MD,2005,Carroll,240135076.02,34,3,0
MD,2005,Carroll,240135077.01,71,4,0
MD,2005,Carroll,240135077.02,31,4,0
